Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
53,94,67.19092628,-1,2.462083861,22.19140625,0.347878196,183.6796875,Sedentary,1,0
53,118,75.6719057,-4,4.635883813,28.03125,1.355434079,687.2050781,Sedentary,1,0
53,100,70.62301587,4,1.532837863,16.93554687,0.17810399,89.4082031,Sedentary,1,0
54,120,79.85416667,-8,1.966257021,17.40234375,0.253331322,121.3457031,Sedentary,1,0
46,106,60.73577236,3,1.910626744,19.20703125,0.27629729,135.109375,Sedentary,1,0
55,120,87.89409369,25,1.963446325,18.5625,0.265209611,129.6875,Sedentary,1,0
46,164,117.449187,25,6.726074874,21.6796875,14.04173164,6894.490234,Sedentary,1,0
72,195,112.4105691,-108,8.459957161,30.56640625,3.044368953,1494.785156,Sedentary,1,0
60,112,78.60542797,9,1.263445897,18.4375,0.096698113,46.125,Sedentary,1,0
74,131,88.56064073,-1,2.463771425,17.86132812,0.418884698,182.2148437,Sedentary,1,0
68,124,86.45289855,7,2.212710242,18.94921875,0.29994877,164.671875,Sedentary,1,0
69,110,82.45783133,-17,0,0,0,0,Sedentary,1,0
55,102,79.91750503,-2,2.672859926,19.01171875,0.509864268,252.3828125,Sedentary,1,0
50,117,73.04929577,7,2.462662463,16.03125,0.478322155,202.8085937,Sedentary,1,0
40,130,74.16455696,11,2.563701104,20.3203125,0.405782101,223.5859375,Sedentary,1,0
51,127,75.625,21,2.169001063,19.0625,0.329709477,181.6699219,Sedentary,1,0
60,147,97.74691358,-31,1.490946595,21.3046875,0.115576675,56.0546875,Sedentary,1,0
50,105,63.86831276,-48,0.536220854,11.796875,0.024454416,11.8359375,Sedentary,1,0
51,137,98.04528986,8,2.948603915,17.55859375,0.753374546,415.1093749,Sedentary,1,0
50,115,75.80406654,-22,3.820092479,19.8515625,1.049978298,566.9882812,Sedentary,1,0
